career,Q1_realistic,Q2_investigative,Q3_artistic,Q4_social,Q5_enterprising,Q6_conventional,Q7_math,Q8_communication,Q9_technical,Q10_design,Q11_work_env,Q12_team_size,Q13_risk,Q14_pace,Q15_values,Q16_prefers,Q17_balance,Q18_education,Q19_subjects,Q20_coding,Q21_indoor,Q22_age,Q23_problem_text,Q24_dream_text,Q25_skill_text,annual_salary,total_employment,required_skills
Data Scientist,2.53,6.81,2.63,1.93,1.72,4.61,5,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Somewhat,Masters,Science/Math,Advanced,Strongly indoor,18-22,I love building predictive models that learn from historical data to forecast future,I would run my own data consultancy helping companies make smarter decisions,I am known for my patience in cleaning and structuring messy datasets,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Content Creator,2.34,2.71,3.41,3.24,3.7,4.85,2,4,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Bachelors,Arts/Humanities,Never,Strongly indoor,23-27,I love experimenting with different content formats to see what truly resonates deeply,I would build the largest educational channel in my subject area anywhere in the world,Colleagues say I have an instinct for what audiences want even before they know it,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Doctor,4.49,6.54,2.55,5.24,2.2,4.63,4,5,3,2,Lab,Large (20+),Low,Moderate,Making impact,People,Very,Bachelors,Science/Math,Never,Mostly indoor,Under 18,I feel most fulfilled when I can relieve someone pain or cure their illness,I would research rare diseases and develop treatments that do not yet exist today,Friends always come to me when they need careful and thoughtful medical advice,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Cybersecurity Analyst,4.57,5.46,2.02,1.0,2.21,6.21,5,1,4,1,Office,Solo,High,Fast-paced,High salary,Data,Extremely,Pursuing,Mixed,Advanced,Strongly indoor,28-35,I get excited by the challenge of protecting systems from increasingly clever threats,I would run a cybersecurity firm that defends companies from nation state attacks,Friends say I am obsessively detail oriented and never miss anything suspicious,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
Research Scientist,2.87,7.0,3.01,1.77,1.88,4.2,5,3,3,3,Lab,Solo,Low,Slow and steady,Making impact,Data,Very,Bachelors,Science/Math,Intermediate,Mostly indoor,23-27,I enjoy the challenge of designing experiments that eliminate all possible confounding factors,I would create a research institute where scientists work on only the hardest problems,People say I can design an elegant experiment that gets to the truth very efficiently,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Supply Chain Manager,2.63,3.66,1.0,2.37,4.84,4.85,4,3,4,3,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Pursuing,Commerce/Business,Basic,Mostly indoor,23-27,I love optimizing complex networks and finding costly inefficiencies that others miss completely,I would design supply chains that are completely transparent and entirely ethically sourced,People say I have an exceptional ability to coordinate many complex moving parts simultaneously,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Doctor,4.43,6.69,1.0,5.54,1.47,3.53,3,4,2,2,Lab,Large (20+),Low,Moderate,Making impact,People,Very,Bachelors,Science/Math,Never,Mostly indoor,23-27,I enjoy studying the human body and understanding how all systems interact,I would combine technology and medicine to revolutionize patient care completely,I am known for my attention to detail and thoroughness in everything I do daily,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Software Engineer,4.31,5.77,2.94,2.44,2.26,5.18,5,3,5,4,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Extremely,Masters,Science/Math,Expert,Strongly indoor,23-27,I get excited solving algorithmic challenges and optimizing code performance,I would develop the infrastructure that powers the next generation internet,Colleagues say I debug problems faster than anyone else on the team,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Mechanical Engineer,6.8,4.79,1.07,1.6,1.22,4.49,4,2,5,2,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Somewhat,Pursuing,Science/Math,Never,Both equally,18-22,I get excited by the challenge of making mechanical systems dramatically more efficient,I would build manufacturing systems that produce goods with absolutely zero waste,Friends always ask me to fix mechanical things because I can figure absolutely anything out,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Supply Chain Manager,2.09,3.56,1.0,1.95,3.94,5.43,4,4,4,1,Flexible,Large (20+),High,Fast-paced,Job stability,Mix of all,Very,Bachelors,Commerce/Business,Basic,Mostly indoor,Under 18,I get excited by the challenge of delivering the right thing to the right place at the right time,I would build logistics systems for humanitarian aid that genuinely save lives during crises,Colleagues say I can spot a supply chain bottleneck long before it ever becomes a serious crisis,99600,182800,Monitoring | Coordination | Critical Thinking | Active Listening | Reading Comprehension | Speaking | Complex Problem Solving | Judgment and Decision Making
Environmental Scientist,4.2,6.76,1.47,3.95,2.05,4.62,4,3,3,3,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Very,Masters,Science/Math,Basic,Both equally,35+,I enjoy collecting field data and translating it into actionable policy recommendations,I would build monitoring systems that give early warning of approaching environmental disasters,I am known for my ability to communicate urgent scientific issues in a very persuasive way,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Educator,2.34,4.02,4.13,6.69,3.14,3.06,2,5,2,3,Flexible,Large (20+),Low,Slow and steady,Making impact,People,Somewhat,Masters,Arts/Humanities,Never,Mostly indoor,18-22,I enjoy designing curriculum and learning experiences that genuinely inspire curiosity,I would reform education systems to focus on creativity and critical thinking skills,I am known for my patience encouragement and belief in every single persons potential,84380,1394000,Curriculum Design | Communication | Classroom Management | Assessment | Patience | Subject Expertise | Technology | Mentoring
Mechanical Engineer,6.66,5.56,1.93,1.04,1.0,4.69,4,2,5,1,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Extremely,Pursuing,Science/Math,Never,Both equally,28-35,I get excited by the challenge of making mechanical systems dramatically more efficient,I would build manufacturing systems that produce goods with absolutely zero waste,Friends always ask me to fix mechanical things because I can figure absolutely anything out,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Financial Analyst,2.73,4.49,2.15,3.36,4.71,5.35,5,3,2,1,Office,Large (20+),Low,Moderate,High salary,Data,Very,Masters,Commerce/Business,Basic,Strongly indoor,35+,I love analyzing financial statements and finding opportunities others overlook,I would manage an investment fund that generates returns for thousands of people,People say I have an exceptional ability to work with numbers and spreadsheets,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Marketing Manager,1.26,3.8,1.07,3.58,7.0,5.21,1,5,3,3,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Very,HighSchool,Commerce/Business,Basic,Mostly indoor,35+,I enjoy finding the one insight about customers that changes everything about strategy,I would build a community around a brand so strong it markets itself organically,People say I can write copy that makes people feel understood and compelled to act,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Graphic Designer,2.89,2.78,7.0,2.6,3.3,4.22,2,2,2,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Somewhat,Masters,Arts/Humanities,Never,Strongly indoor,23-27,I enjoy the challenge of making complex information beautiful and digestible,I would create visual campaigns for social causes I deeply believe in,I am known for my ability to communicate emotions through visual elements,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
Financial Analyst,3.17,3.8,2.14,3.58,4.49,5.35,5,4,2,2,Office,Large (20+),Low,Moderate,High salary,Data,Very,Bachelors,Commerce/Business,Basic,Strongly indoor,23-27,I enjoy finding the financial story hidden inside a complex set of numbers,I would create financial models that help governments allocate resources better,People say I can build a financial model from scratch faster than anyone they know,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Financial Analyst,2.79,4.46,2.12,2.12,3.88,4.84,5,3,1,2,Office,Large (20+),Low,Moderate,High salary,Data,Very,Masters,Commerce/Business,Basic,Strongly indoor,28-35,I enjoy finding the financial story hidden inside a complex set of numbers,I would create financial models that help governments allocate resources better,People say I can build a financial model from scratch faster than anyone they know,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Product Manager,4.14,5.0,1.77,3.22,3.82,5.66,3,5,4,3,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Very,Pursuing,Commerce/Business,Intermediate,Mostly indoor,23-27,I enjoy aligning engineering design and business teams toward one clear goal,I would build a product culture where every team member thinks like an owner,People say I can say no to good ideas to protect focus on the most important,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Data Scientist,2.32,7.0,2.27,1.39,1.52,5.07,4,3,5,1,Remote,Small (2-5),Medium,Varies,High salary,Data,Not,Bachelors,Science/Math,Advanced,Strongly indoor,23-27,I enjoy using statistical methods to answer questions with no obvious answer,I would use machine learning to solve climate change and environmental problems,My professors always praised my statistical thinking and analytical approach,108020,192000,Python | Statistics | Machine Learning | SQL | Data Visualization | Pandas | Communication | NumPy
Business Consultant,1.0,5.58,1.67,3.12,3.96,6.05,3,5,1,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Not,Bachelors,Commerce/Business,Never,Mostly indoor,23-27,I enjoy building frameworks that simplify very complex business problems into clear choices,I would start my own consulting firm completely focused on sustainable business practices,I am known for asking the one question in a meeting that changes the entire strategic direction,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Business Consultant,1.57,5.16,1.64,2.83,4.49,7.0,4,5,3,3,Office,Large (20+),High,Fast-paced,High salary,Ideas,Extremely,Masters,Commerce/Business,Never,Mostly indoor,23-27,I enjoy finding the one change in an organization that unlocks dramatic performance improvement,I would build a consultancy that only works with companies creating genuine positive impact,People say I can build trust with senior executives and influence them without any formal authority,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Environmental Scientist,4.34,6.25,2.03,2.88,2.4,4.44,4,3,3,2,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Very,Bachelors,Science/Math,Basic,Both equally,18-22,I enjoy collecting field data and translating it into actionable policy recommendations,I would build monitoring systems that give early warning of approaching environmental disasters,I am known for my ability to communicate urgent scientific issues in a very persuasive way,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Civil Engineer,6.18,4.13,2.09,1.57,2.17,5.6,4,3,5,1,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Somewhat,Masters,Science/Math,Never,Both equally,18-22,I love designing infrastructure that millions of people depend on every single day,I would design bridges and infrastructure in countries that need them most urgently,People say I am exceptionally detail oriented and absolutely never cut corners on safety,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Doctor,4.24,6.12,1.33,5.75,2.6,3.68,3,5,1,1,Lab,Large (20+),Low,Moderate,Making impact,People,Not,Bachelors,Science/Math,Never,Mostly indoor,28-35,I love solving complex diagnostic puzzles where every symptom is a clue to solve,I would run a free clinic in underserved communities providing quality healthcare,People say I remain calm and composed in high pressure emergency situations,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Lawyer,1.0,4.12,1.78,3.59,5.42,5.38,2,4,1,1,Office,Large (20+),Low,Moderate,High salary,People,Very,Masters,Arts/Humanities,Never,Mostly indoor,Under 18,I get excited by complex legal puzzles where the answer requires deep research,I would specialize in technology law as AI reshapes legal and ethical boundaries,Friends always ask me to help them understand contracts and complex legal documents,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Civil Engineer,5.77,5.12,3.63,2.08,2.28,5.57,5,2,4,3,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Extremely,Bachelors,Science/Math,Never,Both equally,23-27,I enjoy finding ways to build infrastructure that will last for hundreds of years,I would create transportation networks that connect isolated communities to opportunity,People say I have unusual ability to anticipate construction problems before they occur,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
AI/ML Engineer,3.4,6.16,2.74,1.82,3.74,3.39,5,3,5,1,Remote,Small (2-5),High,Fast-paced,High salary,Data,Very,PhD,Science/Math,Expert,Strongly indoor,18-22,I get excited by the challenge of deploying ML models into real production systems,I would develop responsible AI frameworks that benefit all of humanity equally,I am known for my ability to debug models and identify subtle training issues,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Product Manager,3.91,4.73,1.73,2.37,3.09,5.57,4,5,3,3,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Very,Pursuing,Commerce/Business,Intermediate,Mostly indoor,18-22,I love the process of taking a product from zero to one and then scaling it,I would reshape an entire industry through a product nobody imagined before,Friends say I naturally take charge in group projects and keep everyone on track,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Research Scientist,3.49,7.0,2.2,1.2,2.42,3.86,4,4,4,2,Lab,Solo,Low,Slow and steady,Making impact,Data,Very,PhD,Science/Math,Intermediate,Mostly indoor,28-35,I love asking questions that nobody has answered yet and designing experiments,I would run a lab researching cures for diseases that still have absolutely no treatment,People say I have an extraordinary ability to focus deeply and intensely for very long periods,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Entrepreneur,3.87,2.4,1.0,3.11,7.0,5.28,2,2,1,3,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Not,Bachelors,Commerce/Business,Never,Both equally,Under 18,I enjoy the challenge of severe resource constraints and finding very creative solutions fast,I would build a social enterprise that generates real profit and creates massive positive impact,I am known for my resilience and ability to bounce back much stronger after every setback,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Software Engineer,3.46,5.76,3.23,2.06,2.09,5.44,4,4,5,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Extremely,Bachelors,Science/Math,Expert,Strongly indoor,28-35,I enjoy designing clean APIs and writing maintainable readable code,I would contribute to AI systems that genuinely help people in daily life,My peers say I can pick up any new technology extremely quickly,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Psychologist,2.28,5.65,2.86,5.66,3.27,3.78,3,5,2,3,Flexible,Large (20+),Medium,Moderate,Making impact,People,Extremely,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I love designing research studies that reveal truths about human psychology,I would create therapy approaches that help people recover faster from trauma,Colleagues say I can build therapeutic rapport with clients unusually quickly,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Marketing Manager,1.19,2.7,2.06,3.11,6.97,3.84,1,4,2,3,Office,Medium (6-20),Medium,Fast-paced,Fame/recognition,People,Extremely,Masters,Commerce/Business,Basic,Mostly indoor,28-35,I get excited by the challenge of making a brand stand out in a crowded market,I would run marketing for products I genuinely believe change peoples lives,Friends say I always know exactly what to say to get people excited about ideas,171520,384980,Reading Comprehension | Persuasion | Critical Thinking | Speaking | Active Listening | Active Learning | Monitoring | Social Perceptiveness
Doctor,5.08,5.7,1.0,5.76,1.25,4.15,4,4,1,2,Lab,Large (20+),Low,Moderate,Making impact,People,Extremely,Pursuing,Science/Math,Never,Mostly indoor,28-35,I enjoy studying the human body and understanding how all systems interact,I would combine technology and medicine to revolutionize patient care completely,I am known for my attention to detail and thoroughness in everything I do daily,229300,756800,Reading Comprehension | Critical Thinking | Active Listening | Judgment and Decision Making | Speaking | Complex Problem Solving | Active Learning | Writing
Cybersecurity Analyst,3.51,5.34,1.03,1.48,2.72,7.0,5,3,4,2,Office,Solo,High,Fast-paced,High salary,Data,Very,Bachelors,Mixed,Advanced,Strongly indoor,18-22,I get excited by the challenge of protecting systems from increasingly clever threats,I would run a cybersecurity firm that defends companies from nation state attacks,Friends say I am obsessively detail oriented and never miss anything suspicious,102600,168900,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Writing | Monitoring | Complex Problem Solving | Active Learning
HR Manager,1.0,2.4,1.38,3.99,5.87,6.17,2,4,3,2,Office,Large (20+),Medium,Moderate,Job stability,People,Extremely,PhD,Commerce/Business,Never,Strongly indoor,23-27,I love the challenge of attracting and retaining exceptional talent for organizations,I would consult for organizations to build truly inclusive workplaces around the world,Colleagues say I can sense team dynamics and address issues before they ever escalate,136350,185400,Management of Personnel Resources | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning | Writing
Product Manager,3.43,5.13,2.02,2.01,4.13,5.4,4,5,4,4,Flexible,Medium (6-20),High,Fast-paced,Fame/recognition,Ideas,Very,Masters,Commerce/Business,Intermediate,Mostly indoor,18-22,I love the process of taking a product from zero to one and then scaling it,I would reshape an entire industry through a product nobody imagined before,Friends say I naturally take charge in group projects and keep everyone on track,169510,482000,Reading Comprehension | Critical Thinking | Active Listening | Speaking | Monitoring | Complex Problem Solving | Writing | Judgment and Decision Making
Graphic Designer,3.88,3.01,6.85,2.08,2.72,4.4,3,2,2,5,Remote,Solo,High,Varies,Creative freedom,Mix of all,Very,Bachelors,Arts/Humanities,Never,Strongly indoor,28-35,I get excited when I transform a vague brief into a compelling visual story,I would design book covers and album art for my favorite artists and authors,Friends always ask me to design invitations logos and social media content,58910,253000,Critical Thinking | Speaking | Active Listening | Reading Comprehension | Active Learning | Writing | Complex Problem Solving | Coordination
AI/ML Engineer,3.27,6.53,3.06,1.82,2.26,3.43,5,3,5,2,Remote,Small (2-5),High,Fast-paced,High salary,Data,Somewhat,Bachelors,Science/Math,Expert,Strongly indoor,23-27,I enjoy training neural networks and pushing boundaries of what models can do,I would create AI tools that make education personalized for every student,My colleagues say I can implement complex research papers faster than anyone,136620,31000,Python | Deep Learning | PyTorch | TensorFlow | MLOps | Mathematics | Research | Cloud Platforms
Business Consultant,1.0,5.82,1.0,3.04,4.5,4.91,4,5,2,2,Office,Large (20+),High,Fast-paced,High salary,Ideas,Not,Bachelors,Commerce/Business,Never,Mostly indoor,23-27,I enjoy finding the one change in an organization that unlocks dramatic performance improvement,I would build a consultancy that only works with companies creating genuine positive impact,People say I can build trust with senior executives and influence them without any formal authority,99410,1000000,Active Listening | Reading Comprehension | Critical Thinking | Judgment and Decision Making | Complex Problem Solving | Speaking | Monitoring | Writing
Civil Engineer,6.41,5.01,2.73,1.28,1.77,5.02,4,2,4,2,Outdoor,Medium (6-20),Low,Moderate,Job stability,Physical things,Very,HighSchool,Science/Math,Never,Both equally,23-27,I love designing infrastructure that millions of people depend on every single day,I would design bridges and infrastructure in countries that need them most urgently,People say I am exceptionally detail oriented and absolutely never cut corners on safety,88050,329800,Reading Comprehension | Critical Thinking | Active Listening | Mathematics | Speaking | Complex Problem Solving | Writing | Monitoring
Mechanical Engineer,6.02,5.48,2.89,1.93,1.87,4.89,5,3,4,2,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Not,Pursuing,Science/Math,Never,Both equally,23-27,I get excited by the challenge of making mechanical systems dramatically more efficient,I would build manufacturing systems that produce goods with absolutely zero waste,Friends always ask me to fix mechanical things because I can figure absolutely anything out,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Content Creator,1.07,3.21,3.91,2.68,4.49,4.48,1,4,3,4,Remote,Solo,High,Varies,Creative freedom,Mix of all,Extremely,Masters,Arts/Humanities,Never,Strongly indoor,28-35,I get excited by building an audience through content that genuinely helps real people,I would create documentary content that changes how people see very important issues,Friends say my writing voice is very distinctive and they can always recognize my work,73690,165000,Writing | Reading Comprehension | Active Listening | Speaking | Critical Thinking | Active Learning | Judgment and Decision Making | Social Perceptiveness
Entrepreneur,2.98,3.1,1.39,3.31,6.96,4.74,2,1,2,4,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Extremely,Pursuing,Commerce/Business,Never,Both equally,18-22,I enjoy the challenge of severe resource constraints and finding very creative solutions fast,I would build a social enterprise that generates real profit and creates massive positive impact,I am known for my resilience and ability to bounce back much stronger after every setback,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Entrepreneur,3.47,1.71,1.0,2.19,6.32,5.96,1,3,1,4,Flexible,Large (20+),High,Fast-paced,Creative freedom,Ideas,Extremely,Masters,Commerce/Business,Never,Both equally,23-27,I love the risk and reward dynamic of betting everything on my own ideas and executing them,I would create a startup ecosystem in my city that produces the next generation of founders,Colleagues say I can make important decisions very quickly with incomplete information,129420,3240000,Active Listening | Monitoring | Speaking | Reading Comprehension | Critical Thinking | Management of Personnel Resources | Social Perceptiveness | Coordination
Lawyer,1.64,4.19,2.86,3.91,6.39,4.31,2,5,2,3,Office,Large (20+),Low,Moderate,High salary,People,Very,PhD,Arts/Humanities,Never,Mostly indoor,23-27,I love constructing logical arguments and finding flaws in opposing positions,I would run a public interest law firm fighting for human rights and social justice,People say I am an exceptionally persuasive and logically structured communicator,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Lawyer,1.0,4.56,2.92,2.76,5.66,4.61,2,5,3,2,Office,Large (20+),Low,Moderate,High salary,People,Very,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I enjoy the challenge of advocating for someone who cannot speak for themselves,I would become a judge who interprets laws with fairness and deep legal wisdom,I am known for my ability to research deeply and build completely airtight arguments,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Psychologist,1.59,5.99,2.94,5.37,2.65,4.51,1,5,2,1,Flexible,Large (20+),Medium,Moderate,Making impact,People,Very,Bachelors,Arts/Humanities,Never,Mostly indoor,28-35,I feel fulfilled when I help someone break through a mental barrier holding them back,I would write books that help people understand and genuinely improve their mental health,People say I can read emotions and sense how someone is feeling without any words,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Lawyer,1.46,4.1,2.61,2.86,5.72,5.13,3,5,2,1,Office,Large (20+),Low,Moderate,High salary,People,Extremely,Pursuing,Arts/Humanities,Never,Mostly indoor,18-22,I love constructing logical arguments and finding flaws in opposing positions,I would run a public interest law firm fighting for human rights and social justice,People say I am an exceptionally persuasive and logically structured communicator,145760,813900,Active Listening | Speaking | Critical Thinking | Reading Comprehension | Writing | Persuasion | Judgment and Decision Making | Negotiation
Psychologist,1.19,5.87,2.81,6.18,1.7,3.86,2,4,2,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Not,Pursuing,Arts/Humanities,Never,Mostly indoor,18-22,I feel fulfilled when I help someone break through a mental barrier holding them back,I would write books that help people understand and genuinely improve their mental health,People say I can read emotions and sense how someone is feeling without any words,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
UX Designer,2.39,4.11,5.72,4.54,3.09,2.27,1,4,3,5,Flexible,Small (2-5),Medium,Varies,Creative freedom,Ideas,Not,Pursuing,Arts/Humanities,Intermediate,Mostly indoor,23-27,I enjoy finding the gap between what users say they want and what they need,I would build design systems that make great UX the default not the exception,People say I can facilitate user research sessions that reveal deep insights,95640,91770,User Research | Figma | Prototyping | Wireframing | Usability Testing | Empathy | Design Thinking | Communication
Environmental Scientist,5.04,5.7,2.82,4.15,1.9,4.25,4,3,3,2,Lab,Large (20+),Medium,Slow and steady,Making impact,Physical things,Very,PhD,Science/Math,Basic,Both equally,Under 18,I enjoy designing monitoring systems that detect environmental change before it becomes crisis,I would create nature based solutions that fight climate change while restoring biodiversity,People say I can find practical environmental solutions that work within real world constraints,76480,97000,Reading Comprehension | Writing | Speaking | Active Listening | Critical Thinking | Science | Monitoring | Complex Problem Solving
Financial Analyst,2.48,3.13,2.42,3.35,4.62,5.4,5,4,1,2,Office,Large (20+),Low,Moderate,High salary,Data,Somewhat,Bachelors,Commerce/Business,Basic,Strongly indoor,28-35,I get excited by building financial models that predict business performance,I would advise startups on financial strategy and help them scale successfully,My professors praised my precision and attention to detail in financial modeling,83660,371920,Financial Modeling | Excel | Valuation | Accounting | Statistics | Bloomberg | Communication | Risk Analysis
Psychologist,2.0,6.65,3.7,6.29,2.88,3.88,2,5,1,2,Flexible,Large (20+),Medium,Moderate,Making impact,People,Very,Bachelors,Arts/Humanities,Never,Mostly indoor,18-22,I love understanding why people behave the way they do in different situations,I would make mental health care accessible and affordable for absolutely everyone,People say I listen deeply and make them feel truly heard and understood always,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
Mechanical Engineer,6.4,5.34,1.0,1.05,1.0,4.53,4,3,4,2,Flexible,Medium (6-20),Medium,Moderate,Job stability,Physical things,Very,PhD,Science/Math,Never,Both equally,28-35,I enjoy analyzing why a mechanical system failed and redesigning it to be stronger,I would create renewable energy systems that make fossil fuels completely obsolete,People say I have an unusual ability to understand how things break before they do,96310,303400,Reading Comprehension | Critical Thinking | Active Listening | Complex Problem Solving | Mathematics | Speaking | Judgment and Decision Making | Science
Research Scientist,3.8,7.0,2.37,3.23,2.5,4.38,4,4,4,1,Lab,Solo,Low,Slow and steady,Making impact,Data,Very,Bachelors,Science/Math,Intermediate,Mostly indoor,23-27,I get deeply excited by the possibility of discovering something completely new to humanity,I would dedicate my life to understanding the fundamental nature of the universe itself,My professors said I ask the sharpest and most probing questions in any class or seminar,99490,136400,Judgment and Decision Making | Systems Evaluation | Active Learning | Complex Problem Solving | Reading Comprehension | Critical Thinking | Systems Analysis | Programming
Software Engineer,3.15,6.75,2.15,1.91,3.37,5.1,5,3,4,3,Remote,Small (2-5),Medium,Fast-paced,High salary,Ideas,Very,Bachelors,Science/Math,Expert,Strongly indoor,23-27,I love automating repetitive tasks and making entire systems more efficient,I would build developer tools that make programming ten times faster,People always ask me to review their code and system architecture designs,130160,1847900,Programming | Reading Comprehension | Critical Thinking | Active Listening | Writing | Speaking | Judgment and Decision Making | Complex Problem Solving
Psychologist,2.3,5.71,1.82,5.18,2.99,2.43,2,5,2,1,Flexible,Large (20+),Medium,Moderate,Making impact,People,Very,Pursuing,Arts/Humanities,Never,Mostly indoor,23-27,I love understanding why people behave the way they do in different situations,I would make mental health care accessible and affordable for absolutely everyone,People say I listen deeply and make them feel truly heard and understood always,81040,181600,Reading Comprehension | Active Listening | Social Perceptiveness | Writing | Speaking | Critical Thinking | Judgment and Decision Making | Active Learning
